New B12 Name,4 Year Degrees offered?,4 Year vs. Two Year,College Type,State,Distance from NY,Barron's Rating,Website,Grad Rate,Freshman Retention
SUNY Broome Community College,0,2 Year,2,NY,,0,WWW.SUNYBROOME.EDU,0.26,0.59
SUNY Buffalo State College,1,4 Year,2,NY,,2,http://suny.buffalostate.edu/,0.45,
SUNY College at Geneseo,1,4 Year,2,NY,,4,www.geneseo.edu/,0.78,0.9
SUNY College of Agriculture and Technology at Cobleskill,1,2 Year,2,NY,,2,www.cobleskill.edu/,0.34,0.74
SUNY College of Environmental Science and Forestry,1,4 Year,2,NY,,3,www.esf.edu,0.72,0.86
SUNY College of Technology at Canton,1,2 Year,2,NY,,2,www.canton.edu,0.3,0.76
SUNY College of Technology at Delhi,1,2 Year,2,NY,,2,www.delhi.edu,0.39,0.69
SUNY College of Technology-Alfred,1,2 Year,2,NY,,2,www.alfredstate.edu,0.47,0.85
SUNY Cortland,1,4 Year,2,NY,,3,www2.cortland.edu,0.7,0.83
SUNY Empire State College,1,4 Year,2,NY,,,www.esc.edu,0.24,0.49
SUNY Erie Community College,0,2 Year,2,NY,,0,www.ecc.edu,0.24,0.53
SUNY Farmingdale,1,4 Year,2,NY,,3,WWW.FARMINGDALE.EDU,0.46,0.82
SUNY Fredonia,1,4 Year,2,NY,,3,www.fredonia.edu,0.64,0.78
SUNY Institute of Technology at Utica-Rome,1,4 Year,2,NY,,3,www.sunyit.edu,0.48,0.84
SUNY Maritime College,1,4 Year,2,NY,,3,www.sunymaritime.edu,0.5,0.79
SUNY Morrisville State College,1,2 Year,2,NY,,2,www.morrisville.edu,0.26,0.67
SUNY New Paltz,1,4 Year,2,NY,,3,https://www.newpaltz.edu/,0.72,0.87
SUNY Old Westbury,1,4 Year,2,NY,,2,www.oldwestbury.edu,0.36,0.76
SUNY Oneonta,1,4 Year,2,NY,,3,www.oneonta.edu,0.7,0.87
SUNY Oswego,1,4 Year,2,NY,,3,www.oswego.edu/,0.58,0.78
SUNY Plattsburgh,1,4 Year,2,NY,,3,www.plattsburgh.edu,0.6,0.84
SUNY Potsdam,1,4 Year,2,NY,,3,www.potsdam.edu,0.51,0.74
SUNY Purchase College,1,4 Year,2,NY,,3,www.purchase.edu,0.6,0.82
SUNY Suffolk County Community College,0,2 Year,2,NY,,0,www3.sunysuffolk.edu,0.2,0.64
SUNY Westchester Community College,0,2 Year,2,NY,,0,sunywcc.edu,0.15,0.64
Susquehanna Univ,1,4 Year,4,PA,,3,www.susqu.edu,0.75,0.84
Swarthmore College,1,4 Year,4,PA,,4,www.swarthmore.edu,0.93,0.96
Syracuse Univ,1,4 Year,4,NY,,3,syr.edu/,0.81,0.92
Talladega College,1,4 Year,4,AL,,3,talladega.edu,0.49,0.33
Tallahassee Community College,0,2 Year,3,FL,,0,,0.41,0.59
Technical Career Institutes,6,Vocational/Technical,6,NY,,,,0.26,0.42
Temple Univ,1,4 Year,3,PA,,3,www.temple.edu,0.66,0.89
Tennessee State Univ,1,4 Year,3,TN,,2,www.tnstate.edu,0.3,0.6
Texas A & M Univ-College Station,1,4 Year,3,TX,,3,http://www.tamusa.tamus.edu/,0.79,0.91
The College of New Jersey,1,4 Year,3,NJ,,4,www.tcnj.edu,0.84,0.93
The College of St Rose,1,4 Year,4,NY,,3,www.strose.edu,0.66,0.75
The New School,1,4 Year,4,NY,,4,www.newschool.edu,0.63,0.83
Tidewater Community College-Portsmouth,0,2 Year,3,VA,,0,www.tcc.edu,0.14,0.6
Tompkins Cortland Community College,0,2 Year,2,NY,,0,www.TC3.edu,0.22,0.53
Touro College-New York,1,4 Year,4,NY,,3,www.touro.edu,0.35,0.46
Trinity College-Connecticut,1,4 Year,4,CT,,4,www.Trincoll.edu,0.86,0.91
Trocaire College,1,2 Year,4,NY,,0,www.trocaire.edu/,0.3,
Tufts Univ,1,4 Year,4,MA,,4,www.tufts.edu,0.92,0.96
Tuskegee Univ,1,4 Year,4,AL,,3,www.tuskegee.edu,0.44,0.72
Ulster County Community College,0,2 Year,2,NY,,0,WWW.SUNYULSTER.EDU,0.28,0.6
Union College-New York,1,4 Year,4,KY,,4,www.unionky.edu,0.34,0.56
Univ at Buffalo,1,4 Year,2,NY,,4,buffalo.edu,0.71,0.88
Univ of Alabama-Birmingham,1,4 Year,3,AL,,3,,,
Univ of Arkansas Community College-Batesville,0,2 Year,3,AK,,,,,0.46
Univ of Bridgeport,1,4 Year,4,CT,,2,www.bridgeport.edu,0.28,0.64
Univ of California-Berkeley,1,4 Year,3,CA,,4,www.berkeley.edu,0.91,0.96
Univ of Chicago,1,4 Year,4,IL,,4,WWW.UCHICAGO.EDU,0.92,0.99
Univ of Connecticut,1,4 Year,3,CT,,4,uconn.edu/,0.83,0.94
Univ of Delaware,1,4 Year,3,DE,,3,www.udel.edu/,0.8,0.92
Univ of Denver,1,4 Year,4,CO,,3,www.du.edu,0.78,0.87
Univ of Florida,1,4 Year,3,FL,,4,www.ufl.edu/,0.87,0.96
Univ of Hartford,1,4 Year,4,CT,,3,www.hartford.edu,0.59,0.73
Univ of Illinois at Urbana-Champaign,1,4 Year,3,IL,,4,www.illinois.edu/,0.84,0.93
Univ of Maine-Augusta,1,4 Year,3,ME,,1,www.umaine.edu/,0.56,0.81
Univ of Mary Washington,1,4 Year,3,VA,,4,umw.edu,0.7,0.8
Univ of Maryland-College Park,1,4 Year,3,MD,,4,www.umd.edu,0.84,0.95
Univ of Maryland-Eastern Shore,1,4 Year,3,MD,,3,www.umes.edu,0.32,0.68
Univ of Michigan-Ann Arbor,1,4 Year,3,MI,,4,www.umich.edu,0.9,0.97
Univ of New Haven,1,4 Year,4,CT,,4,www.newhaven.edu,0.54,0.76
Univ of North Carolina-Chapel Hill,1,4 Year,3,NC,,4,www.unc.edu,0.9,0.96
Univ of Pennsylvania,1,4 Year,4,PA,,4,www.upenn.edu,0.96,0.98
Univ of Phoenix-Phoenix,1,4 Year,5,NJ,,1,www.phoenix.edu,0.07,0.44
Univ of Pittsburgh-Pittsburgh,1,4 Year,3,PA,,4,www.pitt.edu,0.8,0.91
Univ of Richmond,1,4 Year,4,VA,,4,www.richmond.edu,0.85,0.94
Univ of Rochester,1,4 Year,4,NY,,4,www.rochester.edu,0.85,0.96
Univ of Scranton,1,4 Year,4,PA,,3,www.scranton.edu,0.82,0.9
Univ of Southern California,1,4 Year,4,CA,,4,www.usc.edu/,0.91,0.96
Univ of Tampa,1,4 Year,4,FL,,3,,0.59,0.75
Univ of Vermont,1,4 Year,3,VT,,3,www.uvm.edu,0.76,0.86
Univ of Virginia,1,4 Year,3,VA,,4,www.virginia.edu/,0.93,0.97
Universal Technical Institute,6,Vocational/Technical,6,NY,,,,,
Unknown,,,,,,,,,
Unknown Private College- 4 Yr,1,4 Year,4,NY,,,,,
Unknown Vocational School,6,Vocational/Technical,6,NY,,,,,
Upper Iowa Univ,1,4 Year,4,IO,,3,uiu.edu,0.4,0.72
Ursinus College,1,4 Year,4,PA,,3,www.ursinus.edu,0.77,0.89
Utica College,1,4 Year,4,NY,,2,www.utica.edu/,0.47,0.72
Valencia College,0,2 Year,3,FL,,0,valenciacollege.edu,0.41,
Vanderbilt Univ,1,4 Year,4,TN,,4,www.vanderbilt.edu,0.93,0.97
Vassar College,1,4 Year,4,NY,,4,www.vassar.edu,0.94,0.96
Vaughn College of Aeronautics and Technology,1,2 Year,4,NY,,3,www.vaughn.edu,0.36,0.77
Villanova Univ,1,4 Year,4,PA,,4,www.villanova.edu,0.9,0.94
Virginia Polytechnic Institute and State Univ,1,4 Year,3,VA,,4,WWW.VT.EDU,0.82,0.91
Virginia State Univ,1,4 Year,3,VA,,1,www.vsu.edu,0.4,0.65
Virginia Union Univ,1,4 Year,4,VA,,1,www.vuu.edu,0.35,0.54
Vocational and Educational Services for Individuals with Disabilities (VESID),6,Vocational/Technical,6,NY,,,,,
Wagner College,1,4 Year,4,NY,,3,www.wagner.edu,0.61,0.88
Wake Forest Univ,1,4 Year,4,NC,,4,www.wfu.edu,0.86,0.93
Warren Wilson College,1,4 Year,4,NC,,3,www.warren-wilson.edu,0.51,0.69
Washington & Jefferson College,1,4 Year,4,PA,,3,www.washjeff.edu,0.77,0.86
Washington and Lee Univ,1,4 Year,4,VA,,4,www.wlu.edu/,0.9,0.97
Washington College,1,4 Year,4,MD,,3,www.washcoll.edu,0.68,0.81
Washington Univ in St Louis,1,4 Year,3,WA,,4,wsu.edu/,0.65,0.8
Webb Institute,1,4 Year,4,NY,,4,www.webb.edu,0.74,0.91
Wellesley College,1,4 Year,4,MA,,4,www.wellesley.edu,0.91,0.97
Wells College,1,4 Year,4,NY,,3,www.wells.edu,0.58,0.73
Wesleyan Univ,1,4 Year,4,CT,,4,www.wesleyan.edu,0.92,0.95
West Georgia Technical College,,,,,,,,,
West Virginia State Univ,1,4 Year,3,WV,,3,wvstateu.edu,0.21,0.52
West Virginia Univ Institute of Technology,1,4 Year,3,WV,,,wvutech.edu,0.22,0.53
Westminster College-Pennsylvania,1,4 Year,4,MO,,3,WWW.WESTMINSTER-MO.EDU,0.69,0.78
Wheaton College-Massachusetts,1,4 Year,4,IL,,4,www.wheaton.edu,0.87,0.94
Whitman College,1,4 Year,4,WA,,4,www.whitman.edu,0.88,0.94
Widener Univ,1,4 Year,4,PA,,3,www.widener.edu,0.56,0.75
Williams College,1,4 Year,4,MA,,4,www.williams.edu,0.95,0.98
Wofford College,1,4 Year,4,SC,,3,www.wofford.edu,0.82,0.9
Wood Tobe-Coburn School,0,2 Year,5,NY,,,woodtobercoburn.edu,0.76,0.8
Worcester Polytechnic Institute,1,4 Year,4,MA,,4,www.wpi.edu,0.81,0.96
Worcester State Univ,1,4 year,3,MA,,3,www.worcester.edu,0.5,0.8
Yale Univ,1,4 Year,4,CT,,4,www.yale.edu,0.98,0.99
Yeshiva Univ New York,1,4 Year,4,NY,,3,www.yu.edu,0.85,0.93
York College of Pennsylvania,1,4 Year,4,PA,,3,ycp.edu,0.59,0.75
